,date,home,score,away_team
515,27-08-2022,Auxerre,1 - 0,Strasbourg
516,31-08-2022,Strasbourg,1 - 1,Nantes
517,04-09-2022,Brest,1 - 1,Strasbourg
518,11-09-2022,Strasbourg,0 - 0,Clermont
519,17-09-2022,Montpellier,2 - 1,Strasbourg
520,01-10-2022,Strasbourg,1 - 3,Rennes
521,09-10-2022,Angers,2 - 3,Strasbourg
522,14-10-2022,Strasbourg,0 - 3,Lille
523,23-10-2022,Toulouse,2 - 2,Strasbourg
524,29-10-2022,Strasbourg,2 - 2,Marseille
525,05-11-2022,Ajaccio,4 - 2,Strasbourg
526,13-11-2022,Strasbourg,1 - 1,Lorient
527,28-12-2022,Paris SG,2 - 1,Strasbourg
528,02-01-2023,Strasbourg,2 - 3,Troyes
529,11-01-2023,Strasbourg,2 - 2,Lens
530,14-01-2023,Lyon,1 - 2,Strasbourg
531,29-01-2023,Strasbourg,1 - 2,Toulouse
532,01-02-2023,Rennes,3 - 0,Strasbourg
533,05-02-2023,Strasbourg,2 - 0,Montpellier
534,12-02-2023,Lille,2 - 0,Strasbourg
535,18-02-2023,Strasbourg,2 - 1,Angers
536,26-02-2023,Clermont,1 - 1,Strasbourg
537,05-03-2023,Strasbourg,0 - 1,Brest
538,12-03-2023,Marseille,2 - 2,Strasbourg
539,19-03-2023,Strasbourg,2 - 0,Auxerre
540,02-04-2023,Monaco,4 - 3,Strasbourg
541,07-04-2023,Lens,2 - 1,Strasbourg
542,07-08-2022,Toulouse,1 - 1,Nice
543,14-08-2022,Troyes,0 - 3,Toulouse
544,21-08-2022,Toulouse,2 - 2,Lorient
545,28-08-2022,Nantes,3 - 1,Toulouse
546,31-08-2022,Toulouse,0 - 3,Paris SG
547,04-09-2022,Clermont,2 - 0,Toulouse
548,11-09-2022,Toulouse,1 - 0,Reims
549,17-09-2022,Lille,2 - 1,Toulouse
550,02-10-2022,Toulouse,4 - 2,Montpellier
551,07-10-2022,Lyon,1 - 1,Toulouse
552,16-10-2022,Toulouse,3 - 2,Angers
